Family,Genus,Name,Growth.form.1,Growth.form.2,Growth.form.3,Leaf.habit,Collection.date,Grid,Latitude,Longitude,Elevation
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,19300222,G06,23.25870141,114.0251606,250
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,19300326,G21,24.72793343,113.9224344,400
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,19300214,G03,23.17093384,112.5401449,200
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,19311223,G21,24.68578612,113.5993516,400
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,19310105,G25,25.28766177,113.1791139,200
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,19310129,G03,23.17172903,112.5445899,100
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,19340326,G25,25.22107832,113.330734,700
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,19350113,G06,23.32833694,114.0027009,320
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,19410113,G25,25.16020735,113.2880898,300
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,19420314,G24,25.22459056,112.9500955,350
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,19420128,G24,25.22459056,112.9500955,130
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,19560204,G16,24.44378555,113.667447,300
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,19570108,G11,23.63535871,113.8518078,580
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,19630207,G03,23.16986332,112.5262895,200
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,20090318,G20,24.91598268,113.0771307,600
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,20100203,G03,23.17461145,112.5442283,100
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,20130215,G11,23.73958363,113.8088446,340
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,20130316,G20,24.91598268,113.0771307,600
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,20150110,G27,25.07783659,114.4167271,450
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,20150118,G06,23.26230851,114.0601897,300
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,20150125,G05,23.47041957,113.5717353,380
Lauraceae,Litsea,Litsea cubeba,Shrub,Perennial,Woody,Deciduous,20150124,G17,24.09534133,114.1697406,600
Rubiaceae,Ophiorrhiza,Ophiorrhiza cantoniensis,Herb,Perennial,Herbaceous,Evergreen,19290328,G15,24.20764054,113.3967788,350
Rubiaceae,Ophiorrhiza,Ophiorrhiza cantoniensis,Herb,Perennial,Herbaceous,Evergreen,19300215,G03,23.17513536,112.5422662,100
Rubiaceae,Ophiorrhiza,Ophiorrhiza cantoniensis,Herb,Perennial,Herbaceous,Evergreen,19310129,G03,23.17513536,112.5422662,100
Rubiaceae,Ophiorrhiza,Ophiorrhiza cantoniensis,Herb,Perennial,Herbaceous,Evergreen,19560206,G16,24.44378555,113.667447,300
Rubiaceae,Ophiorrhiza,Ophiorrhiza cantoniensis,Herb,Perennial,Herbaceous,Evergreen,19570330,G16,24.44378555,113.667447,350
Rubiaceae,Ophiorrhiza,Ophiorrhiza cantoniensis,Herb,Perennial,Herbaceous,Evergreen,19630204,G03,23.16916212,112.5450469,130
Rubiaceae,Ophiorrhiza,Ophiorrhiza cantoniensis,Herb,Perennial,Herbaceous,Evergreen,19810109,G03,23.17008682,112.5253093,100
Rubiaceae,Ophiorrhiza,Ophiorrhiza cantoniensis,Herb,Perennial,Herbaceous,Evergreen,19820118,G01,23.460373,111.902715,400
Rubiaceae,Ophiorrhiza,Ophiorrhiza cantoniensis,Herb,Perennial,Herbaceous,Evergreen,20120329,G20,24.68844868,113.0317435,889
Magnoliaceae,Michelia,Michelia maudiae,Tree,Perennial,Woody,Evergreen,19290114,G15,24.20764054,113.3967788,350
Magnoliaceae,Michelia,Michelia maudiae,Tree,Perennial,Woody,Evergreen,19300315,G15,24.20764054,113.3967788,350
Magnoliaceae,Michelia,Michelia maudiae,Tree,Perennial,Woody,Evergreen,19300326,G21,24.72793343,113.9224344,400
Magnoliaceae,Michelia,Michelia maudiae,Tree,Perennial,Woody,Evergreen,19310102,G25,25.28766177,113.1791139,200
Magnoliaceae,Michelia,Michelia maudiae,Tree,Perennial,Woody,Evergreen,19340407,G25,25.09567459,113.1670299,600
Magnoliaceae,Michelia,Michelia maudiae,Tree,Perennial,Woody,Evergreen,19340410,G20,24.98219633,113.1366786,600
Magnoliaceae,Michelia,Michelia maudiae,Tree,Perennial,Woody,Evergreen,19340418,G20,24.98219633,113.1366786,320
Magnoliaceae,Michelia,Michelia maudiae,Tree,Perennial,Woody,Evergreen,19360406,G25,25.27708961,113.4098409,500
Magnoliaceae,Michelia,Michelia maudiae,Tree,Perennial,Woody,Evergreen,19640316,G03,23.18254877,112.5224715,950
Magnoliaceae,Michelia,Michelia maudiae,Tree,Perennial,Woody,Evergreen,19740222,G20,24.87574863,113.1372617,850
Magnoliaceae,Michelia,Michelia maudiae,Tree,Perennial,Woody,Evergreen,19970215,G11,23.63944517,113.8904019,1000
Magnoliaceae,Michelia,Michelia maudiae,Tree,Perennial,Woody,Evergreen,20060215,G19,24.9792453,112.8829174,750
